wv_nm,T_227
280.01,107.98507888
280.02,107.82113414
280.03,107.65371661
280.04,107.48282629
280.05,107.30846318
280.06,107.131034815
280.07,106.950794055
280.08,106.76801797
280.09,106.583097955
280.1,106.39631108
280.11,106.208179205
280.12,106.019117935
280.13,105.82964913
280.14,105.64031079
280.15,105.45123338
280.16,105.2632239
280.17,105.076681815
280.18,104.892145125
280.19,104.70987476
280.2,104.53013972
280.21,104.35361654
280.22,104.18030522
280.23,104.01073569
280.24,103.845054555
280.25,103.68312328
280.26,103.52534133
280.27,103.37158631
280.28,103.22185822
280.29,103.07642606
280.3,102.934621365
280.31,102.796721205
280.32,102.66245658
280.33,102.531697025
280.34,102.404043075
280.35,102.27922573
280.36,102.15725306
280.37,102.03771753
280.38,101.920488675
280.39,101.80515896
280.4,101.691728385
280.41,101.57993602
280.42,101.469504795
280.43,101.36069564
280.44,101.252970555
280.45,101.14659854
280.46,101.04142492
280.47,100.937457765
280.48,100.83481947
280.49,100.733501965
280.5,100.63376618
280.51,100.535612115
280.52,100.43929263
280.53,100.344799655
280.54,100.25240219
280.55,100.162361165
280.56,100.074807045
280.57,99.98973983
280.58,99.90742045
280.59,99.828117905
280.6,99.751840265
280.61,99.67857946
280.62,99.608482095
280.63,99.54181717
280.64,99.478592755
280.65,99.41854792
280.66,99.36182927
280.67,99.30830634
280.68,99.25826427
280.69,99.21117313
280.7,99.16731806
280.71,99.126299595
280.72,99.088141945
280.73,99.052714645
280.74,99.01988723
280.75,98.98941491
280.76,98.96115915
280.77,98.935005625
280.78,98.910677265
280.79,98.888051675
280.8,98.86699839
280.81,98.84724841
280.82,98.828524665
280.83,98.81070476
280.84,98.793503555
280.85,98.77664398
280.86,98.75999557
280.87,98.74341172
280.88,98.72633829
280.89,98.70877528
280.9,98.69016855
280.91,98.670379565
280.92,98.649123185
280.93,98.625983805
280.94,98.60082289
280.95,98.573224835
280.96,98.54291257
280.97,98.50947856
280.98,98.47278427
280.99,98.432414095
281,98.388099035
281.01,98.33957009
281.02,98.28682726
281.03,98.22919401
281.04,98.16693934
281.05,98.099671855
281.06,98.027122555
281.07,97.94956044
281.08,97.86672458
281.09,97.778614975
281.1,97.68510923
281.11,97.586476345
281.12,97.48272439
281.13,97.3739919
281.14,97.26041741
281.15,97.14200092
281.16,97.0192885
281.17,96.89228015
281.18,96.76124487
281.19,96.626590195
281.2,96.48844659
281.21,96.347091125
281.22,96.202915195
281.23,96.056057335
281.24,95.907055545
281.25,95.756170755
281.26,95.60354957
281.27,95.44944485
281.28,95.29425606
281.29,95.13826834
281.3,94.98146555
281.31,94.82439376
281.32,94.6670449
281.33,94.509826505
281.34,94.35260811
281.35,94.195927715
281.36,94.03978532
281.37,93.88431946
281.38,93.72939967
281.39,93.575694415
281.4,93.422950835
