wv_nm,T_293,T_283,T_273,T_263,T_253,T_243,T_233,T_223,T_213,T_203,T_193,T_228
280.01,108.435245,108.571897,108.51998,108.380369,109.038343,107.326158,108.372299,107.573907,107.533557,106.738931,107.697647,107.869209004355
280.02,108.297786,108.418298,108.36127,108.223004,108.86968,107.171483,108.213051,107.404975,107.364087,106.571075,107.518493,107.702665318237
280.03,108.160865,108.262278,108.197449,108.062411,108.698058,107.015194,108.051113,107.231739,107.190851,106.398915,107.334228,107.532378631972
280.04,108.024751,108.104644,108.029055,107.899397,108.523746,106.856753,107.886485,107.054199,107.014118,106.222451,107.145659,107.358432642589
280.05,107.888637,107.945127,107.856357,107.734231,108.347551,106.696429,107.719167,106.872355,106.833888,106.041683,106.952786,107.181148368239
280.06,107.753061,107.783996,107.679893,107.566913,108.168935,106.534222,107.549697,106.686476,106.65043,105.857418,106.755878,107.000669968936
280.07,107.616947,107.622058,107.499932,107.397981,107.988974,106.370132,107.377806,106.497369,106.463475,105.669656,106.555204,106.817412887622
280.08,107.480564,107.459582,107.317012,107.227704,107.807668,106.204159,107.204032,106.305034,106.273561,105.478397,106.351302,106.631593548021
280.09,107.343643,107.296568,107.131671,107.05662,107.625286,106.036572,107.028375,106.110278,106.080957,105.284717,106.144441,106.443709896627
280.1,107.205646,107.133554,106.944178,106.884729,107.442097,105.867371,106.851373,105.913101,105.885932,105.088347,105.935159,106.253997551991
280.11,107.066573,106.971078,106.755609,106.712838,107.258639,105.696825,106.673026,105.714579,105.689024,104.890363,105.724263,106.063117394167
280.12,106.926155,106.80914,106.565964,106.540947,107.074912,105.524934,106.494141,105.514712,105.490771,104.691303,105.512291,105.871386155152
280.13,106.784123,106.648009,106.37605,106.369594,106.891723,105.351698,106.314718,105.314576,105.291442,104.491167,105.30005,105.679310812481
280.14,106.640746,106.488492,106.186136,106.199317,106.708803,105.177924,106.135295,105.114709,105.091844,104.291031,105.087809,105.487439902027
280.15,106.495755,106.330589,105.99676,106.029847,106.526959,105.003612,105.955872,104.91538,104.892515,104.091433,104.876644,105.296126810109
280.16,106.348881,106.174569,105.808729,105.861991,106.346191,104.828762,105.777256,104.717396,104.694262,103.892642,104.667093,105.105979725833
280.17,106.200662,106.020432,105.622312,105.695749,106.166499,104.65445,105.599716,104.521295,104.497085,103.695465,104.459694,104.91737720732
280.18,106.050829,105.868716,105.437778,105.531659,105.98869,104.480138,105.42379,104.327615,104.302329,103.50044,104.255254,104.73089891125
280.19,105.899382,105.719152,105.255934,105.369452,105.812764,104.306902,105.249478,104.136894,104.109994,103.307836,104.054311,104.546890288088
280.2,105.747128,105.572278,105.07678,105.209935,105.638721,104.134742,105.077049,103.949401,103.921156,103.118191,103.857403,104.365654529035
280.21,105.593798,105.427825,104.900585,105.05257,105.467099,103.963927,104.90731,103.765674,103.736084,102.932043,103.665068,104.187654890938
280.22,105.439661,105.285793,104.728156,104.897626,105.297629,103.795264,104.740261,103.585713,103.555316,102.74993,103.477844,104.013180870976
280.23,105.285524,105.146182,104.559493,104.745641,105.13058,103.628753,104.576171,103.410325,103.37939,102.571583,103.296,103.842494359429
280.24,105.131118,105.008723,104.394865,104.596077,104.966221,103.464663,104.415578,103.239241,103.208306,102.39754,103.120074,103.675788781164
280.25,104.976981,104.873685,104.234272,104.449203,104.804552,103.303801,104.258213,103.072461,103.042871,102.22807,102.949797,103.513258875037
280.26,104.823382,104.74053,104.078252,104.305019,104.645573,103.145898,104.104345,102.910523,102.883085,102.063442,102.785707,103.355045933096
280.27,104.671128,104.609258,103.926536,104.163525,104.489553,102.991492,103.954243,102.752889,102.728948,101.903118,102.627535,103.201086203101
280.28,104.520219,104.4796,103.779393,104.024452,104.336223,102.840583,103.807907,102.599559,102.580729,101.747636,102.475819,103.051424089184
280.29,104.370924,104.351287,103.636823,103.8878,104.185852,102.693709,103.665606,102.450802,102.438697,101.596727,102.329752,102.906266639963
280.3,104.22405,104.22405,103.499095,103.753569,104.038171,102.550601,103.526802,102.305811,102.302314,101.450391,102.189603,102.765142869906
280.31,104.079328,104.097889,103.365671,103.621759,103.893449,102.411797,103.392033,102.164586,102.17158,101.308628,102.055103,102.62828594029
280.32,103.937565,103.971997,103.236551,103.492101,103.751686,102.276759,103.26103,102.026858,102.046495,101.1709,101.925983,102.495338282778
280.33,103.798761,103.846643,103.111735,103.364326,103.612882,102.146025,103.133793,101.892358,101.926521,101.037207,101.801705,102.366227218226
280.34,103.663454,103.721558,102.990954,103.238703,103.476768,102.019595,103.010053,101.760548,101.811658,100.907549,101.682269,102.240726952494
280.35,103.531375,103.596473,102.874208,103.114963,103.343344,101.896931,102.889541,101.631159,101.701637,100.781388,101.566868,102.118542186881
280.36,103.402793,103.471119,102.760959,102.992568,103.21261,101.778302,102.772526,101.503922,101.595651,100.658993,101.455233,101.999509155849
280.37,103.277977,103.345496,102.651207,102.872056,103.084835,101.663439,102.65847,101.378568,101.4937,100.539557,101.347095,101.883429683798
280.38,103.157196,103.219873,102.544683,102.753158,102.95975,101.552073,102.547373,101.254828,101.394977,100.423349,101.242185,101.769987711585
280.39,103.040181,103.093981,102.440849,102.635605,102.837086,101.444204,102.438697,101.132433,101.299751,100.3101,101.139696,101.658960723788
280.4,102.926932,102.96782,102.339436,102.519128,102.717381,101.339832,102.332442,101.011383,101.206946,100.19981,101.039359,101.550229370642
280.41,102.817718,102.84139,102.240175,102.404265,102.599828,101.238419,102.228608,100.89114,101.116831,100.09221,100.941174,101.443505473701
